,Date,Breed,Age,Sex,Altered,Borough,Zipcode
85,February 10 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
86,March 03 2015,NA,NA,U,FALSE,Brooklyn,11235
87,March 04 2015,Korean Jindo,NA,M,TRUE,Brooklyn,11215
88,March 06 2015,American Pitbull Terrier Mix,10,F,FALSE,Brooklyn,11206
89,March 07 2015,English Bulldog,2,M,TRUE,Brooklyn,11201
90,February 27 2015,American Pitbull Terrier,3,M,FALSE,Brooklyn,11206
91,March 07 2015,Bulldog/Sharpei,11,M,TRUE,Brooklyn,11233
92,March 08 2015,Shih Tzu,4,M,FALSE,Brooklyn,11234
93,March 10 2015,Cocker Spaniel Mix,NA,M,FALSE,Brooklyn,11201
94,March 06 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
95,March 12 2015,Jack Russell Terrier,0.583,M,FALSE,Brooklyn,11208
96,March 12 2015,Shih Tzu,NA,U,FALSE,Brooklyn,11217
97,February 26 2015,American Pitbull Terrier,2,M,FALSE,Brooklyn,11216
98,March 13 2015,Pug,6,M,TRUE,Brooklyn,11231
99,March 15 2015,Yorkshire Terrier,4,M,FALSE,Brooklyn,11205
100,March 14 2015,Chow Chow,3,M,FALSE,Brooklyn,11234
101,March 15 2015,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11230
102,March 14 2015,Shepherd Mix,5,M,TRUE,Brooklyn,11229
103,March 16 2015,Maltese,7,M,TRUE,Brooklyn,11221
104,March 18 2015,American Pitbull Terrier,5,M,TRUE,Brooklyn,11207
105,March 16 2015,Yorkshire Terrier,1,M,FALSE,Brooklyn,11221
106,March 14 2015,Cocker Spaniel,NA,U,FALSE,Brooklyn,11213
107,March 16 2015,American Pitbull Terrier Mix,2,M,TRUE,Brooklyn,11234
108,March 16 2015,American Pitbull Terrier,NA,F,TRUE,Brooklyn,11223
109,March 17 2015,Border Collie,NA,U,FALSE,Brooklyn,NA
110,March 09 2015,Miniature Pinscher,NA,M,FALSE,Brooklyn,11235
111,March 22 2015,Shih Tzu,2,M,FALSE,Brooklyn,11223
112,March 21 2015,Doberman Pinscher,8,F,FALSE,Brooklyn,11204
113,March 22 2015,Shih Tzu,7,M,TRUE,Brooklyn,11208
114,March 22 2015,German Shepherd,NA,U,FALSE,Brooklyn,11217
115,March 21 2015,French Bulldog,6,M,TRUE,Brooklyn,11217
116,February 02 2015,Pekingese,4,M,FALSE,Brooklyn,11238
117,March 15 2015,Chihuahua,6,M,FALSE,Brooklyn,11221
118,March 25 2015,Terrier,5,M,FALSE,Brooklyn,11027
119,March 29 2015,American Pitbull Terrier,1,M,FALSE,Brooklyn,11224
120,March 20 2015,Harrier/Beagle,0.833,M,TRUE,Brooklyn,11235
121,March 27 2015,Terrier,NA,U,FALSE,Brooklyn,11215
122,March 28 2015,Dachshund, Long Haired Miniature,4,M,TRUE,Brooklyn,11234
123,March 29 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11217
124,March 24 2015,Boxer X W/ Pit Bull,8,M,TRUE,Brooklyn,11231
125,March 31 2015,Cocker Spaniel,3,F,FALSE,Brooklyn,NA
126,April 03 2015,Yorkshire Terrier,6,M,TRUE,Brooklyn,11233
127,April 02 2015,Chihuahua,NA,U,FALSE,Brooklyn,NA
128,April 06 2015,Bulldog,0.667,M,FALSE,Brooklyn,11213
129,April 06 2015,American Staffordshire Terrier,NA,U,FALSE,Brooklyn,11224
130,April 06 2015,American Pitbull Terrier,4,F,TRUE,Brooklyn,11212
131,March 31 2015,Pitbull/Lab Retriever,5,F,TRUE,Brooklyn,NA
132,March 27 2015,Boxer/Rhodesian Ridgeback X,5,F,FALSE,Brooklyn,11214
133,April 06 2015,Chihuahua Mix,0.333,M,FALSE,Brooklyn,11205
134,April 06 2015,Poodle,2,M,FALSE,Brooklyn,11213
135,April 07 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11231
136,April 01 2015,Bull Terrier,1,M,FALSE,Brooklyn,11201
137,April 08 2015,Catahoula Leopard Dog,1,M,TRUE,Brooklyn,11235
138,April 08 2015,NA,NA,U,FALSE,Brooklyn,11214
139,April 06 2015,Yorkshire Terrier,6,F,FALSE,Brooklyn,11219
