,Month,Day,Year,Breed,Age,Sex,Altered,Borough,Zipcode
86,February,28,2016,Miniature Pinscher,5,M,FALSE,Brooklyn,11215
87,February,16,2016,Yorkshire Terrier Mix,3,F,TRUE,Brooklyn,11233
88,February,29,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
89,February,26,2016,NA,NA,U,FALSE,Brooklyn,11230
90,February,27,2016,NA,NA,U,FALSE,Brooklyn,NA
91,February,18,2016,Bulldog,NA,U,FALSE,Brooklyn,11233
92,February,22,2016,Dalmatian,6,M,TRUE,Brooklyn,11220
93,February,26,2016,Siberian Husky,NA,M,FALSE,Brooklyn,11220
94,March,01,2016,NA,NA,U,FALSE,Brooklyn,11218
95,February,25,2016,Shiloh Shepherd,NA,U,FALSE,Brooklyn,11231
96,March,05,2016,American Pitbull Terrier,2,M,FALSE,Brooklyn,11225
97,March,03,2016,NA,NA,U,FALSE,Brooklyn,11220
98,January,17,2016,American Pitbull Terrier Mix,11,M,FALSE,Brooklyn,NA
99,February,24,2016,American Pitbull Terrier,5,F,TRUE,Brooklyn,11208
100,March,03,2016,NA,NA,U,FALSE,Brooklyn,11222
101,March,06,2016,Shih Tzu,NA,U,FALSE,Brooklyn,NA
102,March,04,2016,Rat Terrier,4,M,TRUE,Brooklyn,11226
103,March,05,2016,American Pitbull Terrier,8,M,FALSE,Brooklyn,11233
104,February,21,2016,American Staffordshire Terrier Mix,6,M,FALSE,Brooklyn,11225
105,March,09,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11220
106,March,06,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11224
107,March,07,2016,NA,NA,U,FALSE,Brooklyn,11222
108,March,11,2016,Jack Russell/Chihuahua X,5,M,FALSE,Brooklyn,11208
109,March,13,2016,Pug,7,M,TRUE,Brooklyn,11202
110,March,10,2016,Shiba Inu,1,F,FALSE,Brooklyn,11209
111,March,10,2016,American Pitbull Terrier,5,M,FALSE,Brooklyn,11231
112,March,12,2016,NA,NA,U,FALSE,Brooklyn,NA
113,March,12,2016,Shiba Inu,2,F,TRUE,Brooklyn,11230
114,March,13,2016,NA,NA,U,FALSE,Brooklyn,11219
115,March,15,2016,NA,NA,U,FALSE,Brooklyn,NA
116,March,15,2016,Lab Mix,7,M,TRUE,Brooklyn,11234
117,March,12,2016,American Pitbull Terrier Mix,11,M,TRUE,Brooklyn,11215
118,March,16,2016,Poodle,13,F,FALSE,Brooklyn,11234
119,March,17,2016,German Shepherd Mix,9,M,TRUE,Brooklyn,11207
120,March,10,2016,American Pitbull Terrier,1,M,TRUE,Brooklyn,11209
121,March,18,2016,Shepherd Mix,9,M,FALSE,Brooklyn,11229
122,March,19,2016,American Pitbull Terrier,7,M,FALSE,Brooklyn,11203
123,March,03,2016,NA,NA,U,FALSE,Brooklyn,NA
124,March,18,2016,Unknown,NA,U,FALSE,Brooklyn,NA
125,March,19,2016,English Bulldog,2,M,FALSE,Brooklyn,11203
126,March,14,2016,American Pitbull Terrier Mix,8,M,TRUE,Brooklyn,11235
127,March,23,2016,French Bulldog,7,F,FALSE,Brooklyn,11249
128,March,08,2016,NA,NA,U,FALSE,Brooklyn,11237
129,March,25,2016,Jack Russ Terr X- Chihuahua,5,M,FALSE,Brooklyn,11208
